Word,Vowel,Token_ID,Duration,FileTime,IntervalTime,NormTime,F1,F2,F3,F4
imbued,MUTE,imbued_1,0.256050478,9.002207535,0.075,0.292910994,219.7379637,2145.526619,2582.454966,3312.589538
imbued,MUTE,imbued_1,0.256050478,9.007207535,0.08,0.312438393,221.9113015,2117.345704,2555.194079,3277.042394
imbued,MUTE,imbued_1,0.256050478,9.012207535,0.085,0.331965793,225.1581163,2073.058422,2526.275514,3249.450641
imbued,MUTE,imbued_1,0.256050478,9.017207535,0.09,0.351493193,229.6440716,2010.179175,2495.443454,3231.041986
imbued,MUTE,imbued_1,0.256050478,9.022207535,0.095,0.371020592,235.185992,1972.788766,2467.976979,3226.477967
imbued,MUTE,imbued_1,0.256050478,9.027207535,0.1,0.390547992,241.9468386,1964.820736,2444.395481,3237.895144
imbued,MUTE,imbued_1,0.256050478,9.032207535,0.105,0.410075391,248.8455729,1958.508768,2420.255023,3237.707229
imbued,MUTE,imbued_1,0.256050478,9.037207535,0.11,0.429602791,255.9034743,1954.108432,2395.469344,3224.123276
imbued,MUTE,imbued_1,0.256050478,9.042207535,0.115,0.449130191,261.6149046,1927.0881,2380.084742,3221.244358
imbued,MUTE,imbued_1,0.256050478,9.047207535,0.12,0.46865759,265.7720707,1873.95696,2375.552028,3230.722521
imbued,MUTE,imbued_1,0.256050478,9.052207535,0.125,0.48818499,268.4927551,1842.559817,2373.708178,3243.698245
imbued,MUTE,imbued_1,0.256050478,9.057207535,0.13,0.507712389,269.5552742,1836.25075,2374.968148,3260.711289
imbued,MUTE,imbued_1,0.256050478,9.062207535,0.135,0.527239789,269.4212034,1801.711843,2364.833744,3252.359629
imbued,MUTE,imbued_1,0.256050478,9.067207535,0.14,0.546767189,267.90588,1734.586552,2341.54654,3214.728879
imbued,MUTE,imbued_1,0.256050478,9.072207535,0.145,0.566294588,265.2054775,1687.111515,2339.788273,3198.740962
imbued,MUTE,imbued_1,0.256050478,9.077207535,0.15,0.585821988,261.1371095,1662.31924,2362.881377,3207.735888
imbued,MUTE,imbued_1,0.256050478,9.082207535,0.155,0.605349387,256.2398844,1612.677139,2373.633715,3211.961009
imbued,MUTE,imbued_1,0.256050478,9.087207535,0.16,0.624876787,250.3858895,1534.350287,2370.140809,3210.68023
imbued,MUTE,imbued_1,0.256050478,9.092207535,0.165,0.644404187,246.0176724,1487.403018,2368.474678,3210.023733
imbued,MUTE,imbued_1,0.256050478,9.097207535,0.17,0.663931586,243.3645244,1476.677958,2368.917237,3210.087858
imbued,MUTE,imbued_1,0.256050478,9.102207535,0.175,0.683458986,243.6535287,1458.772737,2370.059833,3216.860415
imbued,MUTE,imbued_1,0.256050478,9.107207535,0.18,0.702986385,247.3387304,1432.579281,2372.010496,3231.376675
imbued,MUTE,imbued_1,0.256050478,9.112207535,0.185,0.722513785,259.040183,1417.64038,2376.900614,3253.774244
imbued,MUTE,imbued_1,0.256050478,9.117207535,0.19,0.742041185,279.994987,1415.692883,2385.183815,3285.269398
imbued,MUTE,imbued_1,0.256050478,9.122207535,0.195,0.761568584,304.148842,1404.373142,2375.343365,3291.963321
imbued,MUTE,imbued_1,0.256050478,9.127207535,0.2,0.781095984,331.9954385,1382.234792,2344.582346,3270.028585
imbued,MUTE,imbued_1,0.256050478,9.132207535,0.205,0.800623383,346.2204276,1384.443128,2325.528086,3224.347965
imbued,MUTE,imbued_1,0.256050478,9.137207535,0.21,0.820150783,344.7216673,1414.755429,2319.987218,3151.256898
imbued,MUTE,imbued_1,0.256050478,9.142207535,0.215,0.839678182,343.7987635,1457.542189,2299.547519,3122.826233
imbued,MUTE,imbued_1,0.256050478,9.147207535,0.22,0.859205582,343.5405849,1514.728519,2261.909741,3145.948145
imbued,MUTE,imbued_1,0.256050478,9.152207535,0.225,0.878732982,344.1072093,1565.658156,2246.036476,3125.890041
imbued,MUTE,imbued_1,0.256050478,9.157207535,0.23,0.898260381,345.6259237,1609.365542,2255.286512,3055.988204
imbued,MUTE,imbued_1,0.256050478,9.162207535,0.235,0.917787781,336.759818,1631.939472,2247.800751,3007.062634
imbued,MUTE,imbued_1,0.256050478,9.167207535,0.24,0.93731518,315.9062641,1630.118543,2220.996455,2982.350474
imbued,MUTE,imbued_1,0.256050478,9.172207535,0.245,0.95684258,299.8285387,1624.654234,2239.10843,3039.936945
imbued,MUTE,imbued_1,0.256050478,9.177207535,0.25,0.97636998,289.2636671,1614.984281,2309.06834,3192.522708
imbued,MUTE,imbued_1,0.256050478,9.182207535,0.255,0.995897379,623.7156431,1863.717141,2595.884945,3454.29854
bad,TRAP,bad_1,0.253518685,12.31740459,0,0,558.0496689,1667.16146,2568.47238,3261.857284
bad,TRAP,bad_1,0.253518685,12.32240459,0.005,0.019722412,586.6064784,1703.394011,2561.618313,3239.730474
bad,TRAP,bad_1,0.253518685,12.32740459,0.01,0.039444824,595.1922204,1750.592716,2589.619438,3219.273126
bad,TRAP,bad_1,0.253518685,12.33240459,0.015,0.059167237,600.9701388,1769.890499,2610.040194,3196.024496
bad,TRAP,bad_1,0.253518685,12.33740459,0.02,0.078889649,603.9803123,1761.685615,2622.988785,3170.024427
bad,TRAP,bad_1,0.253518685,12.34240459,0.025,0.098612061,607.1151662,1756.551886,2645.670081,3175.348525
bad,TRAP,bad_1,0.253518685,12.34740459,0.03,0.118334473,610.3729208,1754.445475,2677.94516,3211.549668
bad,TRAP,bad_1,0.253518685,12.35240459,0.035,0.138056885,612.5273393,1755.189519,2681.355635,3211.88448
bad,TRAP,bad_1,0.253518685,12.35740459,0.04,0.157779298,613.5941706,1758.743332,2656.313518,3176.864915
bad,TRAP,bad_1,0.253518685,12.36240459,0.045,0.17750171,614.8046465,1755.830903,2623.550798,3186.155443
bad,TRAP,bad_1,0.253518685,12.36740459,0.05,0.197224122,616.1567168,1746.54453,2583.177678,3239.123581
bad,TRAP,bad_1,0.253518685,12.37240459,0.055,0.216946534,617.2609655,1739.468515,2555.322996,3228.026205
bad,TRAP,bad_1,0.253518685,12.37740459,0.06,0.236668946,618.1209301,1734.571306,2539.808066,3153.777784
bad,TRAP,bad_1,0.253518685,12.38240459,0.065,0.256391359,621.2484467,1733.681092,2527.361772,3131.722893
bad,TRAP,bad_1,0.253518685,12.38740459,0.07,0.276113771,626.6111483,1736.740677,2517.940312,3161.116525
bad,TRAP,bad_1,0.253518685,12.39240459,0.075,0.295836183,637.2831024,1737.026286,2513.53737,3163.430605
bad,TRAP,bad_1,0.253518685,12.39740459,0.08,0.315558595,653.1885248,1734.577514,2514.081311,3139.051667
bad,TRAP,bad_1,0.253518685,12.40240459,0.085,0.335281007,669.9307921,1734.297237,2575.679876,3130.791557
bad,TRAP,bad_1,0.253518685,12.40740459,0.09,0.355003419,687.4979592,1736.154503,2697.461571,3138.420196
bad,TRAP,bad_1,0.253518685,12.41240459,0.095,0.374725832,699.1960891,1735.21824,2743.02084,3144.956385
bad,TRAP,bad_1,0.253518685,12.41740459,0.1,0.394448244,705.1089562,1731.528323,2713.445681,3150.415716
bad,TRAP,bad_1,0.253518685,12.42240459,0.105,0.414170656,708.4201298,1728.176472,2672.316636,3186.588178
bad,TRAP,bad_1,0.253518685,12.42740459,0.11,0.433893068,709.1667462,1725.157863,2619.798626,3253.035372
bad,TRAP,bad_1,0.253518685,12.43240459,0.115,0.45361548,710.2671953,1720.530562,2576.528905,3231.304699
bad,TRAP,bad_1,0.253518685,12.43740459,0.12,0.473337893,711.7164266,1714.317533,2542.375462,3122.654808
bad,TRAP,bad_1,0.253518685,12.44240459,0.125,0.493060305,710.1186903,1710.001991,2534.494855,3126.319405
bad,TRAP,bad_1,0.253518685,12.44740459,0.13,0.512782717,705.5174789,1707.55685,2552.512067,3240.695315
bad,TRAP,bad_1,0.253518685,12.45240459,0.135,0.532505129,709.1247507,1708.580532,2575.553476,3220.035672
bad,TRAP,bad_1,0.253518685,12.45740459,0.14,0.552227541,720.823338,1713.023523,2603.547365,3066.267971
bad,TRAP,bad_1,0.253518685,12.46240459,0.145,0.571949954,726.5629916,1704.426258,2642.448343,3004.747019
bad,TRAP,bad_1,0.253518685,12.46740459,0.15,0.591672366,726.4287692,1682.974874,2692.100721,3034.156088
bad,TRAP,bad_1,0.253518685,12.47240459,0.155,0.611394778,727.4357116,1675.670171,2709.852592,3163.366002
bad,TRAP,bad_1,0.253518685,12.47740459,0.16,0.63111719,729.5675298,1682.31022,2696.159302,3390.952206
bad,TRAP,bad_1,0.253518685,12.48240459,0.165,0.650839602,729.7453055,1676.810249,2691.008019,3475.54658
bad,TRAP,bad_1,0.253518685,12.48740459,0.17,0.670562015,727.9969309,1659.343544,2694.276814,3419.190186
bad,TRAP,bad_1,0.253518685,12.49240459,0.175,0.690284427,719.6222797,1652.395232,2714.419364,3422.125001
bad,TRAP,bad_1,0.253518685,12.49740459,0.18,0.710006839,704.7159352,1655.815174,2751.194813,3483.504703
bad,TRAP,bad_1,0.253518685,12.50240459,0.185,0.729729251,697.9296873,1656.605674,2775.810001,3445.741549
bad,TRAP,bad_1,0.253518685,12.50740459,0.19,0.749451663,699.1476298,1654.804266,2788.438505,3310.250702
bad,TRAP,bad_1,0.253518685,12.51240459,0.195,0.769174076,703.2739161,1647.387331,2782.50755,3344.597269
bad,TRAP,bad_1,0.253518685,12.51740459,0.2,0.788896488,710.2670328,1634.435026,2758.282053,3546.356995
bad,TRAP,bad_1,0.253518685,12.52240459,0.205,0.8086189,711.5044789,1626.904088,2743.926288,3534.311132
bad,TRAP,bad_1,0.253518685,12.52740459,0.21,0.828341312,707.0684108,1624.717132,2739.299376,3311.51154
bad,TRAP,bad_1,0.253518685,12.53240459,0.215,0.848063724,699.4547084,1619.578409,2751.828417,3346.181311
bad,TRAP,bad_1,0.253518685,12.53740459,0.22,0.867786137,688.708729,1611.530053,2781.268529,3634.645334
bad,TRAP,bad_1,0.253518685,12.54240459,0.225,0.887508549,669.8646426,1606.865162,2792.149381,3788.485383
bad,TRAP,bad_1,0.253518685,12.54740459,0.23,0.907230961,643.0380413,1605.53544,2784.735886,3809.62308
bad,TRAP,bad_1,0.253518685,12.55240459,0.235,0.926953373,619.6363074,1605.733636,2770.931833,3818.746871
bad,TRAP,bad_1,0.253518685,12.55740459,0.24,0.946675785,599.6105543,1607.437939,2750.82844,3816.028244
bad,TRAP,bad_1,0.253518685,12.56240459,0.245,0.966398197,581.1422079,1596.281739,2738.063721,3817.881394
bad,TRAP,bad_1,0.253518685,12.56740459,0.25,0.98612061,564.2090378,1572.448607,2732.532923,3824.241063
bad,TRAP,bad_1,0.253518685,12.57240459,0.255,1.005843022,548.9280354,1561.561306,2755.479516,3833.661213
bawd,THOUGHT,bawd_1,0.285281146,14.20758672,0,0,587.664076,919.8101676,2568.228316,3289.893773
bawd,THOUGHT,bawd_1,0.285281146,14.21258672,0.005,0.01752657,565.6430634,937.2721183,2562.810723,3285.248582
bawd,THOUGHT,bawd_1,0.285281146,14.21758672,0.01,0.03505314,531.6370458,946.7178748,2569.864988,3330.292625
bawd,THOUGHT,bawd_1,0.285281146,14.22258672,0.015,0.05257971,532.5110907,947.6560283,2583.849915,3337.621981
bawd,THOUGHT,bawd_1,0.285281146,14.22758672,0.02,0.07010628,563.0954381,941.347536,2603.738274,3312.826543
bawd,THOUGHT,bawd_1,0.285281146,14.23258672,0.025,0.08763285,574.5690569,944.1179268,2622.560578,3295.056716
bawd,THOUGHT,bawd_1,0.285281146,14.23758672,0.03,0.105159421,569.76445,954.6215711,2640.474833,3283.271196
bawd,THOUGHT,bawd_1,0.285281146,14.24258672,0.035,0.122685991,569.2291549,956.2704877,2675.60307,3278.806306
bawd,THOUGHT,bawd_1,0.285281146,14.24758672,0.04,0.140212561,572.330394,950.3770831,2725.393912,3280.577015
bawd,THOUGHT,bawd_1,0.285281146,14.25258672,0.045,0.157739131,572.7082144,945.2540215,2719.355996,3280.629589
bawd,THOUGHT,bawd_1,0.285281146,14.25758672,0.05,0.175265701,570.7662685,940.7871263,2665.764,3279.218682
bawd,THOUGHT,bawd_1,0.285281146,14.26258672,0.055,0.192792271,570.8250872,937.419504,2652.466565,3276.976234
bawd,THOUGHT,bawd_1,0.285281146,14.26758672,0.06,0.210318841,572.5881265,934.9882254,2673.491418,3274.025492
bawd,THOUGHT,bawd_1,0.285281146,14.27258672,0.065,0.227845411,572.1298368,929.6038499,2672.016016,3275.8926
bawd,THOUGHT,bawd_1,0.285281146,14.27758672,0.07,0.245371981,569.7794532,921.7040718,2651.375242,3281.863479
bawd,THOUGHT,bawd_1,0.285281146,14.28258672,0.075,0.262898551,576.9629801,919.9742449,2647.096126,3253.781201
bawd,THOUGHT,bawd_1,0.285281146,14.28758672,0.08,0.280425121,592.2673458,923.4998878,2656.753619,3196.692965
bawd,THOUGHT,bawd_1,0.285281146,14.29258672,0.085,0.297951691,603.1258202,923.0180299,2661.225087,3209.15806
bawd,THOUGHT,bawd_1,0.285281146,14.29758672,0.09,0.315478262,610.1973524,919.1226443,2661.279177,3280.867618
bawd,THOUGHT,bawd_1,0.285281146,14.30258672,0.095,0.333004832,603.3134061,918.0756823,2657.413519,3321.066571
bawd,THOUGHT,bawd_1,0.285281146,14.30758672,0.1,0.350531402,584.5423972,919.454964,2650.209078,3334.425275
bawd,THOUGHT,bawd_1,0.285281146,14.31258672,0.105,0.368057972,575.2167496,917.9584418,2655.274992,3338.993792
bawd,THOUGHT,bawd_1,0.285281146,14.31758672,0.11,0.385584542,573.9365159,914.012354,2670.792606,3336.074964
bawd,THOUGHT,bawd_1,0.285281146,14.32258672,0.115,0.403111112,577.1140214,908.3273839,2685.253882,3344.032437
bawd,THOUGHT,bawd_1,0.285281146,14.32758672,0.12,0.420637682,584.0885607,901.1612604,2698.815384,3361.254178
bawd,THOUGHT,bawd_1,0.285281146,14.33258672,0.125,0.438164252,586.0942004,899.6142182,2685.118528,3358.766151
bawd,THOUGHT,bawd_1,0.285281146,14.33758672,0.13,0.455690822,583.8674075,902.8534233,2648.203418,3339.489648
bawd,THOUGHT,bawd_1,0.285281146,14.34258672,0.135,0.473217392,583.6631315,906.5919964,2626.62898,3324.434075
bawd,THOUGHT,bawd_1,0.285281146,14.34758672,0.14,0.490743962,585.1816044,910.7559235,2618.121488,3312.973827
bawd,THOUGHT,bawd_1,0.285281146,14.35258672,0.145,0.508270532,588.3523556,916.7918696,2619.011588,3301.74918
bawd,THOUGHT,bawd_1,0.285281146,14.35758672,0.15,0.525797103,592.9304922,924.4223728,2627.906411,3290.725214
bawd,THOUGHT,bawd_1,0.285281146,14.36258672,0.155,0.543323673,599.0353348,931.0214602,2643.666568,3312.625259
bawd,THOUGHT,bawd_1,0.285281146,14.36758672,0.16,0.560850243,606.4406021,936.7420033,2665.274511,3362.569472
bawd,THOUGHT,bawd_1,0.285281146,14.37258672,0.165,0.578376813,604.6365732,943.7329274,2669.532018,3345.724823
bawd,THOUGHT,bawd_1,0.285281146,14.37758672,0.17,0.595903383,594.9882069,951.8059425,2659.01069,3271.990446
bawd,THOUGHT,bawd_1,0.285281146,14.38258672,0.175,0.613429953,594.5859721,954.6029037,2646.90464,3283.249092
bawd,THOUGHT,bawd_1,0.285281146,14.38758672,0.18,0.630956523,602.0594503,952.9058029,2633.448747,3366.903491
bawd,THOUGHT,bawd_1,0.285281146,14.39258672,0.185,0.648483093,611.270959,963.7356088,2630.395899,3420.820509
bawd,THOUGHT,bawd_1,0.285281146,14.39758672,0.19,0.666009663,621.9628954,985.2356419,2636.204205,3449.407681
bawd,THOUGHT,bawd_1,0.285281146,14.40258672,0.195,0.683536233,625.5045505,1006.141224,2643.846326,3494.066454
bawd,THOUGHT,bawd_1,0.285281146,14.40758672,0.2,0.701062803,622.9557056,1026.540462,2653.050463,3552.41477
bawd,THOUGHT,bawd_1,0.285281146,14.41258672,0.205,0.718589374,610.3173571,1034.467181,2652.64523,3540.360717
bawd,THOUGHT,bawd_1,0.285281146,14.41758672,0.21,0.736115944,589.0849242,1031.769999,2644.054883,3468.339004
bawd,THOUGHT,bawd_1,0.285281146,14.42258672,0.215,0.753642514,595.387466,1029.812609,2637.780912,3435.065889
bawd,THOUGHT,bawd_1,0.285281146,14.42758672,0.22,0.771169084,625.1438773,1028.485361,2633.479993,3434.798234
bawd,THOUGHT,bawd_1,0.285281146,14.43258672,0.225,0.788695654,643.2357415,1046.299093,2652.860597,3503.403929
bawd,THOUGHT,bawd_1,0.285281146,14.43758672,0.23,0.806222224,651.3919233,1080.416819,2692.412758,3630.674886
bawd,THOUGHT,bawd_1,0.285281146,14.44258672,0.235,0.823748794,634.9582138,1134.897155,2736.907034,3634.38808
bawd,THOUGHT,bawd_1,0.285281146,14.44758672,0.24,0.841275364,597.5792121,1206.722051,2785.610927,3532.856666
bawd,THOUGHT,bawd_1,0.285281146,14.45258672,0.245,0.858801934,573.8633624,1238.659154,2760.893499,3349.716185
bawd,THOUGHT,bawd_1,0.285281146,14.45758672,0.25,0.876328504,561.7855762,1236.620447,2673.636914,3097.062354
bawd,THOUGHT,bawd_1,0.285281146,14.46258672,0.255,0.893855074,567.1945678,1233.339234,2662.62774,3095.089736
bawd,THOUGHT,bawd_1,0.285281146,14.46758672,0.26,0.911381644,587.4985288,1228.999675,2716.564941,3306.643534
bawd,THOUGHT,bawd_1,0.285281146,14.47258672,0.265,0.928908215,561.4384614,1217.660922,2723.924018,3261.830012
bawd,THOUGHT,bawd_1,0.285281146,14.47758672,0.27,0.946434785,495.8862253,1200.360364,2691.608565,2998.646737
bawd,THOUGHT,bawd_1,0.285281146,14.48258672,0.275,0.963961355,463.5933637,1207.715388,2705.150304,2862.014516
bawd,THOUGHT,bawd_1,0.285281146,14.48758672,0.28,0.981487925,459.6303272,1236.07166,2757.752498,2833.176543
bawd,THOUGHT,bawd_1,0.285281146,14.49258672,0.285,0.999014495,535.949981,1585.129604,2876.817707,3099.96693
bade,FACE,bade_1,0.263132996,25.07256437,0,0,413.2135022,1770.773618,2430.457447,3142.614978
bade,FACE,bade_1,0.263132996,25.07756437,0.005,0.019001798,431.4940279,1826.489949,2538.924064,3142.169367
bade,FACE,bade_1,0.263132996,25.08256437,0.01,0.038003596,442.6026389,1861.023842,2602.535752,3133.448361
bade,FACE,bade_1,0.263132996,25.08756437,0.015,0.057005394,447.4914588,1877.187419,2627.247328,3117.55058
bade,FACE,bade_1,0.263132996,25.09256437,0.02,0.076007191,443.562613,1892.760577,2634.996525,3133.27323
bade,FACE,bade_1,0.263132996,25.09756437,0.025,0.095008989,431.9867104,1907.8217,2628.035221,3176.418472
bade,FACE,bade_1,0.263132996,25.10256437,0.03,0.114010787,425.6984873,1945.973841,2632.528621,3198.283722
bade,FACE,bade_1,0.263132996,25.10756437,0.035,0.133012585,423.9959664,2004.151501,2646.956029,3201.694052
bade,FACE,bade_1,0.263132996,25.11256437,0.04,0.152014383,421.0460561,2038.291797,2655.869305,3198.220181
bade,FACE,bade_1,0.263132996,25.11756437,0.045,0.171016181,417.0143565,2051.585864,2660.00049,3188.776035
bade,FACE,bade_1,0.263132996,25.12256437,0.05,0.190017978,412.5493889,2065.243015,2688.976684,3184.186281
bade,FACE,bade_1,0.263132996,25.12756437,0.055,0.209019776,407.7086727,2079.215047,2739.499534,3183.806462
bade,FACE,bade_1,0.263132996,25.13256437,0.06,0.228021574,404.4619828,2088.424884,2765.841968,3184.151134
bade,FACE,bade_1,0.263132996,25.13756437,0.065,0.247023372,402.5977006,2093.504742,2771.214111,3185.124114
bade,FACE,bade_1,0.263132996,25.14256437,0.07,0.26602517,400.6680351,2107.402828,2771.162207,3183.007087
bade,FACE,bade_1,0.263132996,25.14756437,0.075,0.285026968,398.6816664,2128.94846,2766.406338,3178.210273
bade,FACE,bade_1,0.263132996,25.15256437,0.08,0.304028765,395.1686497,2142.768581,2766.326027,3172.244664
bade,FACE,bade_1,0.263132996,25.15756437,0.085,0.323030563,390.3316587,2149.888806,2770.30056,3165.265426
bade,FACE,bade_1,0.263132996,25.16256437,0.09,0.342032361,380.1814844,2152.273393,2754.294408,3166.055505
bade,FACE,bade_1,0.263132996,25.16756437,0.095,0.361034159,365.4234902,2150.551031,2720.960152,3173.58347
bade,FACE,bade_1,0.263132996,25.17256437,0.1,0.380035957,362.2457809,2164.127566,2722.587333,3190.92864
bade,FACE,bade_1,0.263132996,25.17756437,0.105,0.399037755,369.1109901,2190.971961,2754.534568,3216.78771
bade,FACE,bade_1,0.263132996,25.18256437,0.11,0.418039552,372.69062,2198.963977,2784.956432,3235.152073
bade,FACE,bade_1,0.263132996,25.18756437,0.115,0.43704135,373.4208548,2190.606403,2814.055428,3247.016706
bade,FACE,bade_1,0.263132996,25.19256437,0.12,0.456043148,369.3487022,2184.626846,2809.07771,3242.313783
bade,FACE,bade_1,0.263132996,25.19756437,0.125,0.475044946,361.1117137,2180.709605,2774.547207,3223.242765
bade,FACE,bade_1,0.263132996,25.20256437,0.13,0.494046744,347.8940167,2183.284671,2783.599495,3226.395187
bade,FACE,bade_1,0.263132996,25.20756437,0.135,0.513048542,330.3568362,2191.490143,2830.448646,3248.820726
bade,FACE,bade_1,0.263132996,25.21256437,0.14,0.532050339,316.4624135,2196.576906,2846.202903,3273.000165
bade,FACE,bade_1,0.263132996,25.21756437,0.145,0.551052137,305.7271461,2198.958991,2834.990339,3298.700662
bade,FACE,bade_1,0.263132996,25.22256437,0.15,0.570053935,305.7927556,2203.283898,2822.520819,3310.854443
bade,FACE,bade_1,0.263132996,25.22756437,0.155,0.589055733,315.2253475,2209.293703,2808.961213,3311.259934
bade,FACE,bade_1,0.263132996,25.23256437,0.16,0.608057531,317.2091969,2217.034573,2799.543459,3302.200657
bade,FACE,bade_1,0.263132996,25.23756437,0.165,0.627059329,312.7331782,2226.276699,2793.717699,3284.93313
bade,FACE,bade_1,0.263132996,25.24256437,0.17,0.646061126,310.0860126,2235.963743,2801.134703,3320.128263
bade,FACE,bade_1,0.263132996,25.24756437,0.175,0.665062924,309.0249065,2246.036639,2820.036399,3400.821261
bade,FACE,bade_1,0.263132996,25.25256437,0.18,0.684064722,306.8433789,2249.670711,2821.800572,3449.96292
bade,FACE,bade_1,0.263132996,25.25756437,0.185,0.70306652,303.6901739,2247.720758,2808.702353,3471.741908
