Filename		Label	Duration	FileTime	IntervalTime	F1	F2	F3
Vowel_Heart	vocalization	13.44	0		 0	--undefined--	--undefined--	--undefined--
Vowel_Heart	vocalization	13.44	0.005		 0.005	--undefined--	--undefined--	--undefined--
Vowel_Heart	vocalization	13.44	0.01		 0.01	--undefined--	--undefined--	--undefined--
Vowel_Heart	vocalization	13.44	0.015		 0.015	--undefined--	--undefined--	--undefined--
Vowel_Heart	vocalization	13.44	0.02		 0.02	--undefined--	--undefined--	--undefined--
Vowel_Heart	vocalization	13.44	0.025		 0.025	377.6222790430897	1511.5585402812437	2817.953885203973
Vowel_Heart	vocalization	13.44	0.03		 0.03	377.62227904310095	1511.5585402812517	2817.953885203997
Vowel_Heart	vocalization	13.44	0.035		 0.035	465.7788192416793	1573.8471909163434	3003.496798550612
Vowel_Heart	vocalization	13.44	0.04		 0.04	553.9353594402506	1636.1358415514107	3189.0397118972114
Vowel_Heart	vocalization	13.44	0.045		 0.045	588.2743014964739	1510.1180212168256	3258.257304574517
Vowel_Heart	vocalization	13.44	0.05		 0.05	622.6132435526931	1384.1002008822788	3327.47489725177
Vowel_Heart	vocalization	13.44	0.055		 0.055	626.0757459407268	1559.4655710023744	2984.4419448465
Vowel_Heart	vocalization	13.44	0.06		 0.06	629.5382483287509	1734.8309411224423	2641.4089924412956
Vowel_Heart	vocalization	13.44	0.065		 0.065	556.5826266989042	1694.5587879312736	2812.0212887597054
Vowel_Heart	vocalization	13.44	0.07		 0.07	483.6270050690675	1654.286634740113	2982.63358507808
Vowel_Heart	vocalization	13.44	0.075		 0.075	488.5465767175996	1675.7821126427257	2876.40024689599
Vowel_Heart	vocalization	13.44	0.08		 0.08	493.4661483661291	1697.2775905453384	2770.1669087139235
Vowel_Heart	vocalization	13.44	0.085		 0.085	478.8930546479278	1720.0017019895063	2849.875132360794
Vowel_Heart	vocalization	13.44	0.09		 0.09	464.31996092973185	1742.7258134336641	2929.5833560076544
Vowel_Heart	vocalization	13.44	0.095		 0.095	491.7520223675705	1684.9993270408627	2937.3790351174134
Vowel_Heart	vocalization	13.44	0.1		 0.1	519.1840838054868	1627.2728406481715	2945.17471422728
Vowel_Heart	vocalization	13.44	0.105		 0.105	1154.4241220900517	2432.9019569730435	3795.9499980923893
Vowel_Heart	vocalization	13.44	0.11		 0.11	1789.6641603744433	3238.531073297706	4646.725281957278
Vowel_Heart	vocalization	13.44	0.115		 0.115	1071.8993493275825	2401.6624335370743	3772.9233651805403
Vowel_Heart	vocalization	13.44	0.12		 0.12	354.1345382808768	1564.7937937766135	2899.121448403967
Vowel_Heart	vocalization	13.44	0.125		 0.125	851.918255631031	2060.468098421554	3310.014734975376
Vowel_Heart	vocalization	13.44	0.13		 0.13	1349.7019729811373	2556.142403066476	3720.9080215467247
Vowel_Heart	vocalization	13.44	0.135		 0.135	1472.6831863804034	2907.9656723737694	3656.8766399674587
Vowel_Heart	vocalization	13.44	0.14		 0.14	1595.66439977957	3259.788941680903	3592.8452583881494
Vowel_Heart	vocalization	13.44	0.145		 0.145	958.8881827451492	2388.572351300899	3197.851550164445
Vowel_Heart	vocalization	13.44	0.15		 0.15	322.1119657108152	1517.3557609210093	2802.8578419408036
Vowel_Heart	vocalization	13.44	0.155		 0.155	417.66292438689413	1615.715296096642	2926.189569455261
Vowel_Heart	vocalization	13.44	0.16		 0.16	513.2138830629549	1714.0748312722599	3049.521296969692
Vowel_Heart	vocalization	13.44	0.165		 0.165	467.21316262781886	1696.6899115455578	2969.135966051231
Vowel_Heart	vocalization	13.44	0.17		 0.17	421.21244219269556	1679.304991818851	2888.7506351327725
Vowel_Heart	vocalization	13.44	0.17500000000000002		 0.17500000000000002	473.82474056193183	1625.841604247207	2825.675919791942
Vowel_Heart	vocalization	13.44	0.18		 0.18	526.437038931152	1572.378216675567	2762.6012044511413
Vowel_Heart	vocalization	13.44	0.185		 0.185	454.63644635448543	1551.2821429100966	2932.276469026807
Vowel_Heart	vocalization	13.44	0.19		 0.19	382.83585377784016	1530.1860691446363	3101.9517336024282
Vowel_Heart	vocalization	13.44	0.195		 0.195	477.36007976298106	1588.420613471136	2925.228873669824
Vowel_Heart	vocalization	13.44	0.2		 0.2	571.8843057481508	1646.6551577976616	2748.5060137372807
Vowel_Heart	vocalization	13.44	0.20500000000000002		 0.20500000000000002	892.2380989485189	1907.6835151890166	3047.680557006744
Vowel_Heart	vocalization	13.44	0.21		 0.21	1212.5918921487987	2168.711872580295	3346.8551002761255
Vowel_Heart	vocalization	13.44	0.215		 0.215	844.6806150791297	1832.143530844026	3004.5500427480656
Vowel_Heart	vocalization	13.44	0.22		 0.22	476.76933800951434	1495.5751891078057	2662.2449852200566
Vowel_Heart	vocalization	13.44	0.225		 0.225	528.9513861191665	1543.949325794071	2715.47682562773
Vowel_Heart	vocalization	13.44	0.23		 0.23	581.133434228797	1592.3234624803288	2768.708666035412
Vowel_Heart	vocalization	13.44	0.23500000000000001		 0.23500000000000001	463.6970743590038	1583.9574943040097	2891.033372041761
Vowel_Heart	vocalization	13.44	0.24		 0.24	346.260714489235	1575.5915261276896	3013.3580780480793
Vowel_Heart	vocalization	13.44	0.245		 0.245	419.03279519631786	1559.828326045831	2895.4887019013536
Vowel_Heart	vocalization	13.44	0.25		 0.25	491.80487590339555	1544.0651259639792	2777.6193257546493
Vowel_Heart	vocalization	13.44	0.255		 0.255	524.1642084652981	1581.3719972373651	2824.529362353223
Vowel_Heart	vocalization	13.44	0.26		 0.26	556.5235410272386	1618.678868510759	2871.439398951817
