Filename,Duration,IntervalTime,F1,F2,F3,F1c,F2c,F3c
Vowel_Heart,13.44,10.09,261,666,2216,261,666,2216
Vowel_Heart,13.44,10.095,273,671,2314,273,671,2314
Vowel_Heart,13.44,10.1,285,676,2412,285,676,2412
Vowel_Heart,13.44,10.105,285,675,2368,285,675,2368
Vowel_Heart,13.44,10.11,284,675,2324,284,675,2324
Vowel_Heart,13.44,10.115,285,674,2352,285,674,2352
Vowel_Heart,13.44,10.12,286,673,2381,286,673,2381
Vowel_Heart,13.44,10.125,282,672,2393,282,672,2393
Vowel_Heart,13.44,10.13,277,670,2405,277,670,2405
Vowel_Heart,13.44,10.135,279,671,2327,279,671,2327
Vowel_Heart,13.44,10.14,281,672,2250,281,672,2250
Vowel_Heart,13.44,10.145,280,673,2264,280,673,2264
Vowel_Heart,13.44,10.15,280,674,2278,280,674,2278
Vowel_Heart,13.44,10.155,277,670,2383,277,670,2383
Vowel_Heart,13.44,10.16,273,666,2488,273,666,2488
Vowel_Heart,13.44,10.165,268,664,2518,268,664,2518
Vowel_Heart,13.44,10.17,263,662,2549,263,662,2549
Vowel_Heart,13.44,10.175,268,663,2517,268,663,2517
Vowel_Heart,13.44,10.18,273,664,2486,273,664,2486
Vowel_Heart,13.44,10.185,275,664,2444,275,664,2444
Vowel_Heart,13.44,10.19,276,664,2401,276,664,2401
Vowel_Heart,13.44,10.195,281,668,2463,281,668,2463
Vowel_Heart,13.44,10.2,287,673,2525,287,673,2525
Vowel_Heart,13.44,10.205,288,672,2600,288,672,2600
Vowel_Heart,13.44,10.21,289,672,2675,289,672,2675
Vowel_Heart,13.44,10.215,286,670,2584,286,670,2584
Vowel_Heart,13.44,10.22,283,669,2492,283,669,2492
Vowel_Heart,13.44,10.225,284,670,2548,284,670,2548
Vowel_Heart,13.44,10.23,285,671,2603,285,671,2603
Vowel_Heart,13.44,10.235,283,669,2519,283,669,2519
Vowel_Heart,13.44,10.24,282,667,2434,282,667,2434
Vowel_Heart,13.44,10.245,284,668,2511,284,668,2511
Vowel_Heart,13.44,10.25,286,669,2588,286,669,2588
Vowel_Heart,13.44,10.255,288,670,2594,288,670,2594
Vowel_Heart,13.44,10.26,290,672,2600,290,672,2600
Vowel_Heart,13.44,10.265,289,669,2541,289,669,2541
Vowel_Heart,13.44,10.27,289,666,2482,289,666,2482
Vowel_Heart,13.44,10.275,292,666,2358,292,666,2358
Vowel_Heart,13.44,10.28,296,666,2234,296,666,2234
Vowel_Heart,13.44,10.285,296,667,2289,296,667,2289
Vowel_Heart,13.44,10.29,297,667,2344,297,667,2344
Vowel_Heart,13.44,10.295,292,665,2442,292,665,2442
Vowel_Heart,13.44,10.3,287,662,2540,287,662,2540
Vowel_Heart,13.44,10.305,287,661,2523,287,661,2523
Vowel_Heart,13.44,10.31,286,661,2506,286,661,2506
Vowel_Heart,13.44,10.315,286,662,2519,286,662,2519
Vowel_Heart,13.44,10.32,287,664,2532,287,664,2532
Vowel_Heart,13.44,10.325,286,663,2604,286,663,2604
Vowel_Heart,13.44,10.33,284,662,2675,284,662,2675
Vowel_Heart,13.44,10.335,280,660,2624,280,660,2624
Vowel_Heart,13.44,10.34,276,657,2572,276,657,2572
Vowel_Heart,13.44,10.345,278,659,2597,278,659,2597
Vowel_Heart,13.44,10.35,280,660,2622,280,660,2622
Vowel_Heart,13.44,10.355,280,661,2604,280,661,2604
Vowel_Heart,13.44,10.36,280,661,2587,280,661,2587
Vowel_Heart,13.44,10.365,279,660,2643,279,660,2643
Vowel_Heart,13.44,10.37,279,660,2699,279,660,2699
Vowel_Heart,13.44,10.375,281,659,2681,281,659,2681
Vowel_Heart,13.44,10.38,284,659,2663,284,659,2663
Vowel_Heart,13.44,10.385,281,658,2688,281,658,2688
Vowel_Heart,13.44,10.39,278,657,2713,278,657,2713
Vowel_Heart,13.44,10.395,279,656,2716,279,656,2716
Vowel_Heart,13.44,10.4,280,656,2720,280,656,2720
Vowel_Heart,13.44,10.405,280,656,2699,280,656,2699
Vowel_Heart,13.44,10.41,279,656,2679,279,656,2679
Vowel_Heart,13.44,10.415,281,656,2716,281,656,2716
Vowel_Heart,13.44,10.42,284,655,2753,284,655,2753
Vowel_Heart,13.44,10.425,282,655,2763,282,655,2763
Vowel_Heart,13.44,10.43,280,655,2773,280,655,2773
Vowel_Heart,13.44,10.435,281,655,2758,281,655,2758
Vowel_Heart,13.44,10.44,282,655,2744,282,655,2744
Vowel_Heart,13.44,10.445,282,653,2758,282,653,2758
Vowel_Heart,13.44,10.45,283,651,2772,283,651,2772
Vowel_Heart,13.44,10.455,285,651,2764,285,651,2764
Vowel_Heart,13.44,10.46,287,651,2755,287,651,2755
Vowel_Heart,13.44,10.465,288,651,2762,288,651,2762
Vowel_Heart,13.44,10.47,289,651,2769,289,651,2769
Vowel_Heart,13.44,10.475,293,652,2757,293,652,2757
Vowel_Heart,13.44,10.48,297,653,2745,297,653,2745
Vowel_Heart,13.44,10.485,297,654,2768,297,654,2768
Vowel_Heart,13.44,10.49,296,654,2792,296,654,2792
Vowel_Heart,13.44,10.495,299,655,2810,299,655,2810
Vowel_Heart,13.44,10.5,302,656,2828,302,656,2828
Vowel_Heart,13.44,10.505,306,656,2809,306,656,2809
Vowel_Heart,13.44,10.51,310,656,2791,310,656,2791
Vowel_Heart,13.44,10.515,313,656,2786,313,656,2786
Vowel_Heart,13.44,10.52,315,656,2782,315,656,2782
Vowel_Heart,13.44,10.525,311,656,2778,311,656,2778
Vowel_Heart,13.44,10.53,307,656,2775,307,656,2775
Vowel_Heart,13.44,10.535,307,653,2784,307,653,2784
Vowel_Heart,13.44,10.54,306,649,2794,306,649,2794
Vowel_Heart,13.44,10.545,308,652,2808,308,652,2808
Vowel_Heart,13.44,10.55,310,654,2822,310,654,2822
Vowel_Heart,13.44,10.555,311,654,2864,311,654,2864
Vowel_Heart,13.44,10.56,313,655,2906,313,655,2906
Vowel_Heart,13.44,10.565,312,656,2896,312,656,2896
Vowel_Heart,13.44,10.57,310,658,2886,310,658,2886
Vowel_Heart,13.44,10.575,313,660,2889,313,660,2889
Vowel_Heart,13.44,10.58,315,662,2892,315,662,2892
Vowel_Heart,13.44,10.585,317,664,2912,317,664,2912
Vowel_Heart,13.44,10.59,320,667,2932,320,667,2932
Vowel_Heart,13.44,10.595,322,669,2939,322,669,2939
Vowel_Heart,13.44,10.6,324,672,2947,324,672,2947
Vowel_Heart,13.44,10.605,326,672,2931,326,672,2931
Vowel_Heart,13.44,10.61,329,672,2916,329,672,2916
Vowel_Heart,13.44,10.615,332,675,2948,332,675,2948
Vowel_Heart,13.44,10.62,335,678,2980,335,678,2980
Vowel_Heart,13.44,10.625,339,680,3090,339,680,3090
Vowel_Heart,13.44,10.63,343,683,3200,343,683,3200
Vowel_Heart,13.44,10.635,347,687,3242,347,687,3242
Vowel_Heart,13.44,10.64,351,692,3284,351,692,3284
Vowel_Heart,13.44,10.645,353,692,3457,353,692,3457
Vowel_Heart,13.44,10.65,355,693,3630,355,693,3630
Vowel_Heart,13.44,10.655,356,698,3406,356,698,3406
Vowel_Heart,13.44,10.66,357,703,3181,357,703,3181
Vowel_Heart,13.44,10.665,357,704,3149,357,704,3149
Vowel_Heart,13.44,10.67,357,705,3117,357,705,3117
Vowel_Heart,13.44,10.675,359,705,3169,359,705,3169
Vowel_Heart,13.44,10.68,361,704,3222,361,704,3222
Vowel_Heart,13.44,10.685,362,705,3325,362,705,3325
Vowel_Heart,13.44,10.69,362,705,3428,362,705,3428
Vowel_Heart,13.44,10.695,363,702,3387,363,702,3387
Vowel_Heart,13.44,10.7,364,698,3346,364,698,3346
Vowel_Heart,13.44,10.705,365,690,3423,365,690,3423
Vowel_Heart,13.44,10.71,366,681,3500,366,681,3500
Vowel_Heart,13.44,10.715,365,682,3537,365,682,3537
Vowel_Heart,13.44,10.72,363,682,3573,363,682,3573
Vowel_Heart,13.44,10.725,358,677,3603,358,677,3603
Vowel_Heart,13.44,10.73,353,671,3633,353,671,3633
Vowel_Heart,13.44,10.735,356,672,3432,356,672,3432
Vowel_Heart,13.44,10.74,358,672,3231,358,672,3231
Vowel_Heart,13.44,10.745,357,670,3190,357,670,3190
Vowel_Heart,13.44,10.75,356,668,3148,356,668,3148
Vowel_Heart,13.44,10.755,360,667,3168,360,667,3168
Vowel_Heart,13.44,10.76,363,666,3188,363,666,3188
Vowel_Heart,13.44,10.765,360,663,3203,360,663,3203
Vowel_Heart,13.44,10.77,358,659,3217,358,659,3217
Vowel_Heart,13.44,10.775,357,661,3203,357,661,3203
Vowel_Heart,13.44,10.78,356,663,3188,356,663,3188
Vowel_Heart,13.44,10.785,352,662,3138,352,662,3138
Vowel_Heart,13.44,10.79,349,661,3088,349,661,3088
Vowel_Heart,13.44,10.795,356,662,3284,356,662,3284
